,Company,Company Description,Date Victimised,No of views,Comment
67,CPA Advisors Group,"Our accounting firm was formed with a single principle in mind: to provide the highest level of personalized client service possible. Simply put, we care about each and every one of our clients.  If you would like to develop a relationship with an accountant that will know your name, get to know ours.

Our full-service accounting firm is well established and is ready to serve you. Since our inception, we have grown continuously by providing a wide-array of professional services. Let us know how we can serve you. We’re here to help.", 21.07.2023, 58694,".2023,,https://www.cpaadvisorsgroup.com/,,,Personal information of the firm's clients,Personal correspondence,Financial reports,Documents containing confidential information,,https://anonfiles.com/d4L9Ue3dz7/192_168_1_1_Z_part01_rar,https://anonfiles.com/i4L5U239zc/192_168_1_1_Z_part03_rar,https://anonfiles.com/k7LeUd35z3/192_168_1_1_Z_part05_rar,https://anonfiles.com/lfLdU33ez1/192_168_1_1_Z_part02_rar,https://anonfiles.com/o9L4U735z1/192_168_1_1_Z_part04_rar,https://anonfiles.com/wcO7U430zd/192_168_1_1_Z_part06_rar,https://anonfiles.com/0fO9Ue32zb/192_168_1_1_Z_part07_rar,https://anonfiles.com/1bO6U93cz5/192_168_1_1_Z_part08_rar,https://anonfiles.com/2cOfUe33zb/192_168_1_1_Z_part10_rar,https://anonfiles.com/3aOeU73dzc/192_168_1_1_Z_part09_rar,https://anonfiles.com/q8QbU838z8/192_168_1_1_Z_part11_rar,https://anonfiles.com/PdQ6U637z6/192_168_1_1_Z_part12_rar,https://anonfiles.com/T9Q8Uc3dzf/192_168_1_1_Z_part14_rar,https://anonfiles.com/WbQ1U83dzf/192_168_1_1_Z_part13_rar,https://anonfiles.com/d9RfUf3fz0/192_168_1_1_Z_part15_rar,https://anonfiles.com/jbS5Ud3bz2/192_168_1_1_Z_part16_rar,https://anonfiles.com/88S0Uc33za/192_168_1_1_Z_part18_rar,https://anonfiles.com/A1SdU835z1/192_168_1_1_Z_part17_rar,https://anonfiles.com/EdS2U538z2/192_168_1_1_Z_part19_rar,https://anonfiles.com/H2S7U135zd/192_168_1_1_Z_part20_rar,https://anonfiles.com/r3U3U43fz9/192_168_1_1_Z_part21_rar,https://anonfiles.com/TfUbU53bz9/192_168_1_1_Z_part23_rar,https://anonfiles.com/VdU8U134z0/192_168_1_1_Z_part22_rar,https://anonfiles.com/i9VbU138z8/192_168_1_1_Z_part25_rar,https://anonfiles.com/j0V3U235zf/192_168_1_1_Z_part24_rar,https://anonfiles.com/b8W7Ua34z2/192_168_1_1_Z_part26_rar,https://anonfiles.com/i4W4U530zf/192_168_1_1_Z_part28_rar,https://anonfiles.com/j2W3U034z2/192_168_1_1_Z_part27_rar,https://anonfiles.com/m8W1U63ez9/192_168_1_1_Z_part29_rar,https://anonfiles.com/naWaU53dz8/192_168_1_1_Z_part30_rar,https://anonfiles.com/l9XfU738z0/192_168_1_1_Z_part31_rar,https://anonfiles.com/s8X4U63fz8/192_168_1_1_Z_part36_rar,https://anonfiles.com/y4X0Ua3ez5/192_168_1_1_Z_part33_rar,https://anonfiles.com/3cX8U839z5/192_168_1_1_Z_part32_rar,https://anonfiles.com/C2X2U83dz0/192_168_1_1_Z_part35_rar,https://anonfiles.com/KaX6U334zf/192_168_1_1_Z_part34_rar,https://anonfiles.com/L2XbU33dz7/192_168_1_21_C_part4_rar,https://anonfiles.com/WfYeU039z7/192_168_1_21_C_part1_rar,https://anonfiles.com/ccZcU23dz1/192_168_1_21_C_part3_rar,https://anonfiles.com/ncZcU036z4/192_168_1_31_C_part02_rar,https://anonfiles.com/p4Z8U33cz1/192_168_1_21_C_part2_rar,https://anonfiles.com/taZ7U93dz6/192_168_1_31_C_part01_rar,https://anonfiles.com/V3a2V23czb/192_168_1_31_C_part03_rar,https://anonfiles.com/d6baVd3bzd/192_168_1_31_C_part04_rar,https://anonfiles.com/t3b2V731z4/192_168_1_31_C_part05_rar,https://anonfiles.com/u7b2V039z1/192_168_1_31_C_part06_rar,https://anonfiles.com/zab4Va31z2/192_168_1_31_C_part07_rar,https://anonfiles.com/19c3V538z2/192_168_1_31_C_part08_rar,https://anonfiles.com/C3ceV73dzf/192_168_1_31_C_part09_rar,https://anonfiles.com/H5c1V331ze/192_168_1_31_C_part10_rar,https://anonfiles.com/S4ceVd38z4/192_168_1_31_C_part12_rar,https://anonfiles.com/T8cfVb34z8/192_168_1_31_C_part11_rar,https://anonfiles.com/EeddV036z0/192_168_1_31_C_part13_rar,https://anonfiles.com/T3dfV03dz9/192_168_1_31_C_part14_rar,https://anonfiles.com/g8ecV53cz9/192_168_1_31_C_part15_rar,https://anonfiles.com/heeeV33czc/192_168_1_31_C_part16_rar,https://anonfiles.com/5fe5Vf35zd/192_168_1_31_C_part17_rar,https://anonfiles.com/46f5V131zb/192_168_1_31_C_part18_rar,https://anonfiles.com/L6f9V733z5/192_168_1_31_C_part19_rar,https://anonfiles.com/Zef9Ve33z1/192_168_1_31_C_part22_rar,https://anonfiles.com/acgcV03az3/192_168_1_31_C_part21_rar,https://anonfiles.com/c4g9Ve3cz3/192_168_1_31_C_part20_rar,https://anonfiles.com/X0g4V733z8/192_168_1_31_C_part23_rar,https://anonfiles.com/g6h4V535ze/192_168_1_31_C_part24_rar,https://anonfiles.com/q4h5V03czf/192_168_1_31_C_part26_rar,https://anonfiles.com/1ehaV733z9/192_168_1_40_C_part1_rar,https://anonfiles.com/53h3V037z8/192_168_1_31_C_part25_rar,https://anonfiles.com/76h1V233z9/192_168_1_40_C_part3_rar,https://anonfiles.com/ubibV539za/192_168_1_40_C_part2_rar"
68,BTU,"BTU is an Argentine company dedicated to the development and execution of engineering, construction, mounting and start-up projects, mainly in the Energy, Oil & Gas and Railway System Infrastructure sectors.
We have provided integral services throughout the country for over 30 years, in public and private sector, delivering constant technical and entrepreneurial development. As a result of our expertise, we are one of Argentina’s leading engineering and highly complex construction company.", 17.07.23, 59436,"ry 2023,,https://btu-sa.com/?lang=en,,Documets SIG,Clients and Works,Standards,Customer Standards,Instruments,Future Works, contracts,Inspections,Technical Library,,https://anonfiles.com/Ydsdaa1czd/btu_7z_003,https://anonfiles.com/017aa91dzd/btu_7z_002,https://anonfiles.com/1484ae1ez6/btu_7z_001"
69,ANL Packaging,"ANL Packaging makes your product unique
ANL Packaging specializes in bespoke thermoformed packaging in line with the customers’ needs. In doing so, ANL Packaging supports the individuality of the customers’ products.
ANL Packaging specializes in bespoke thermoformed plastic packaging. Our custom-made packaging solutions can be found in both food and non-food markets, but we also have a standard range.", 17.07.23, 59636,"ry 2023,,http://www.anlpackaging.fr/,,Finance Information,Personal Information,ANL Presentation s,Employment contracts,Work Regulations,Information of Security,Compensation & Benefits,Audit Documents,,https://anonfiles.com/ddl8ib1azc/anl_7z_005,https://anonfiles.com/H7l1i010zb/anl_7z_002,https://anonfiles.com/Qdl1ia18zf/anl_7z_003,https://anonfiles.com/c4mdi91az4/anl_7z_004,https://anonfiles.com/h7m2id1dz8/anl_7z_001,https://anonfiles.com/Qdodic16z6/anl_7z_007,https://anonfiles.com/ofp4i71dz8/anl_7z_009,https://anonfiles.com/z3pbi316z0/anl_7z_011,https://anonfiles.com/67p9id18z3/anl_7z_008,https://anonfiles.com/28q3i31azb/anl_7z_006,https://anonfiles.com/Leq7i31bzd/anl_7z_010"
70,Dental One Craigieburn,"Dental One was created to make Dentistry more affordable and accessible in Australia, starting with our home state of Victoria.
Cost has long been sighted as the number one reason people avoid visiting the dentist. At Dental One we aim to remove this obstacle and usher in a new wave of Affordable Dental Care for all. You can expect the same quality and professional treatment from our Dentists as you would anywhere else. We are focused on providing the best outcome for our patients and ensuring only the best long-term treatment options are followed.
At Dental One we aim to usher in a new wave of Affordable Dental Care for all. We are focused on providing the best outcome for our patients and ensuring only the best long-term treatment options are followed.", 17.07.23, 59474,"ry 2023,,https://dental1.com.au/,,Internal documents,Orders, invoices, checks,Information from the reception,Patient Information,Reports,,https://anonfiles.com/RaR0jf12z0/Dental_G_7z"
71,Jadranka Group,"Since its founding, Jadranka has been the largest company on the islands of Cres and Lošinj. It also employs the largest number of inhabitants of these islands and is the main driver of the development of this area. Jadranka has grown into a recognizable and respected company with a 70-year-old business tradition, which, according to business results, can certainly be ranked among the top companies in the hospitality and tourism industry.
During February 2014, Jadranka d.d. went through the process of ownership change and thus the company Beta ulaganja d.o.o. based in Zagreb became 100% owner of Jadranka's shares. Croatian owners of Beta ulaganja are officially recorded in the Register of Beneficial Owners.", 17.07.23, 59537,"ary 2023,,https://jadranka.hr/,,Financial reports and documents,Invoices, checks, invoices,Audit Documents,Sales Information,,https://anonfiles.com/scF2of1ez5/jadranka_7z_002,https://anonfiles.com/x9F6oe1azf/jadranka_7z_001,https://anonfiles.com/E3Fdo216z0/jadranka_7z_003,https://anonfiles.com/J9F2o81dz8/jadranka_7z_005,https://anonfiles.com/O2F6oa1ezf/jadranka_7z_004,https://anonfiles.com/b6adz116z0/jadranka_7z_006,https://anonfiles.com/09i4zd19z7/jadranka_7z_007,https://anonfiles.com/U4I0o51az8/jadranka_7z_011,https://anonfiles.com/SeL7o510z6/jadranka_7z_009,https://anonfiles.com/kfM8o918zb/jadranka_7z_008,https://anonfiles.com/paM0o512z8/jadranka_7z_010"
72,The Traffic Tech,"The Traffic Tech Gull is an award winning ISO certified total solutions provider of integrated systems in traffic management. intelligent transportation, parking management, security, communications and truck weigh stations. Founded in 2000, Traffic Tech Experience in Tratic Engineering, integrating systems to meet customized needs using the most advanced technologies available in the market, Over the past twenty (20) years, Taffic Tech has developed com engineering, system integration, contracting and service capabilities, that helped earn Trafic Tech a leading role in the balds of specialization throughout the Gulf regions. Our scope includes design, system integration equipment supply installation, commissioning, operation, and after-sales service.", 17.07.23, 59546,"ary 2023,,https://www.traffic-tech.com/,,Invoices, invoices, checks,Bank statements,Financial reports and indicators,Contracts with contractors,Audit reports,Projects,,https://anonfiles.com/I42bxb10z5/QA001D23_7z_004,https://anonfiles.com/Rc26xa15zd/QA001D23_7z_001,https://anonfiles.com/ze48x417zb/QA001D23_7z_002,https://anonfiles.com/sa6cxd17zd/QA001D23_7z_003,https://anonfiles.com/ue91x314z9/QA001D23_7z_005,https://anonfiles.com/AeYexa18z9/QA001D23_7z_006,https://anonfiles.com/RbYcxf14zb/QA001D23_7z_007,https://anonfiles.com/q6ecyb14zc/QA001D23_7z_008,https://anonfiles.com/nbg3y017z9/QA001D23_7z_009,https://anonfiles.com/Rehay710zf/QA001D23_7z_010,https://anonfiles.com/09E0y71aze/QA001D23_7z_014,https://anonfiles.com/l7Lby416z9/QA001D23_7z_012,https://anonfiles.com/d6Mayc1fza/QA001D23_7z_013,https://anonfiles.com/v1Meyb17za/QA001D23_7z_011"
73,Telepizza,"Telepizza was founded in Madrid in 1987 as a family business with a clear drive for innovation and a constant focus on the quality of its products. Being in this way a pioneer in the delivery of quality food to home. In 1992, the company opened its first factory and began its international expansion.
Telepizza's focus of work is occupied by irresistible and unique pizzas. Prepared with the utmost attention to detail and a rigorous selection of fresh and natural ingredients. His secret is known. Mass. Made with love and by hand.
In addition, through Telepizza's communication platform, Let's spend more time together, we become a global brand with a unique meaning throughout the world.", 17.07.23, 59698,"ry 2023,,https://www.telepizza.es/,,Administrative Documents,Personal data,Financial reports,Marketing Information,Sales data, customer orders,,https://anonfiles.com/P3S1y112z9/telepizza_7z_003,https://anonfiles.com/p9v2z813z3/telepizza_7z_001,https://anonfiles.com/b01dz419z7/telepizza_7z_002"
74,Citelis Mobility,"Our engine is the satisfaction of our clients in each visit to our agencies, we work every day to give the best service at each point of sale, care for your vehicle and we accompany you in every step you take to select your travel companion.", 18.07.23, 60983,".2023,,citelis.com.mx,,Internal documents, regulations,Information about all employees, their mail, position,Invoices, invoices, checks of all dealerships of the company,Official letters,Bank statements,,https://anonfiles.com/u5cfM029zc/MYSQL_10_1_5_152_zip,https://anonfiles.com/v5ceM92dz7/10_1_5_55_files_zip,https://anonfiles.com/x7cfM325z5/10_1_5_102_files_zip,https://anonfiles.com/12cdM123zb/75_files_zip,https://anonfiles.com/h1dbM42fzb/Wizki_zip"
75,Advanced Fiberglass Industries,"Advanced Fiberglass Industries is a UAE-based manufacturer of advanced composite offering an unrivaled quality of finished composite products and turnkey solutions provided based on the development of the latest technology advancements used in composite construction. Advanced Fiberglass Industries being one of the first entities globally to procure adaptive molding in the year 2018.
Headquartered in Dubai, our Al Quoz 2 Industrial Area facility encompasses at 6500m² with highly experience technical staff and operators. We have a Climate controlled and Safety Compliant Cleanroom, Paint Booth, Post Curing oven, and Sandblasting facilities onsite. Moreover, in molding and CNC milling, we have an in-house 7axis KUKA milling robot machine and adaptive molding technology.", 15.07.23, 61863,".2023,,https://www.afi.ae/,,Tender reviews,Official letters,Presentations and product mockups,Checks,Accounting report data,Tax statements,Internal documents,Salary data,Personal data of employees, passports,Confidential Data,Waybills,,,https://anonfiles.com/l7709d0fzd/_KARTHIK_7z"
76,Weitkamp · Hirsch and Kollegen Steuerberatungsgesellschaft mbH,"Tax advice
Competence and thoroughness are very important in our law firm. We train ourselves and our employees regularly so that we can always provide you with comprehensive support and advice in the following areas, for example.
For optimal preparation, we need the following form to be filled out by you. Welcome!", 15.07.23, 60708,".2023,,https://whk-schleswig.de/,,Over 200 GB of archived data,,Internal documents,Customer data,Official letters and correspondence,Tax declarations of clients,Checks, payments,,,Files,https://anonfiles.com/GcU1hb16z1/work_version_7z_003,https://anonfiles.com/j3V9h91azd/work_version_7z_005,https://anonfiles.com/lfV5hb1czc/work_version_7z_001,https://anonfiles.com/80X1h41fzf/work_version_7z_002,https://anonfiles.com/E9X6h81ezc/work_version_7z_004,https://anonfiles.com/t1s7if18zf/work_version_7z_006,https://anonfiles.com/Z6s3i21az0/work_version_7z_007,https://anonfiles.com/6et4ib18zb/work_version_7z_008,https://anonfiles.com/Q0tci816z7/work_version_7z_010,https://anonfiles.com/cduai612zc/work_version_7z_009,https://anonfiles.com/F3W1id12z9/work_version_7z_015,https://anonfiles.com/H6Wcic1bzf/work_version_7z_011,https://anonfiles.com/H7X1i110zd/work_version_7z_014,https://anonfiles.com/29Yci619z9/work_version_7z_012,https://anonfiles.com/v8aejf1azf/work_version_7z_013,https://anonfiles.com/c8u7j217z6/work_version_7z_018,https://anonfiles.com/z261j814z1/work_version_7z_016,https://anonfiles.com/x477j61cz6/work_version_7z_017,,Mail,https://anonfiles.com/Lf37kc1dze/WHK_SCHLESWIG_DE_mail_7z_004,https://anonfiles.com/F952kc1bz9/WHK_SCHLESWIG_DE_mail_7z_001,https://anonfiles.com/pb60kc1azd/WHK_SCHLESWIG_DE_mail_7z_003,https://anonfiles.com/3361k617z7/WHK_SCHLESWIG_DE_mail_7z_002"
77,Pesquera Diamante S.A.,"We strive to meet the nutritional needs of the Peruvian and global market by supplying proteins and marine products with the assurance of a process that meets the highest quality standards in the processing of fishmeal and fish oil, canned food, fresh and frozen products. products.
Demand, efficiency and innovation are the three main characteristics that represent our essence and have been our flag since 1986, setting a successful and flawless trajectory in the fishing sector.
We are always striving to achieve new goals, focus on new challenges and reinvent ourselves with every action for the benefit of our customers, employees, shareholders, the environment and society as a whole.", 15.07.23, 60689,".2023,,https://www.diamante.com.pe/,,Internal documents,Official letters,Waybills,Checks, payments,,,https://anonfiles.com/G1jfl31bz8/RECURSOS_part1_7z_003,https://anonfiles.com/efpelc1bzd/RECURSOS_part1_7z_002,https://anonfiles.com/j30fla1aza/RECURSOS_part1_7z_001,,https://anonfiles.com/recco71bz6/RECURSOS_part2_7z_001,https://anonfiles.com/d9ddob1fz9/RECURSOS_part2_7z_003,https://anonfiles.com/jed2o21cza/RECURSOS_part2_7z_005,https://anonfiles.com/n0d7o214z1/RECURSOS_part2_7z_004,https://anonfiles.com/mce9oa17z1/RECURSOS_part2_7z_002,https://anonfiles.com/D9l6o014z0/RECURSOS_part2_7z_009,https://anonfiles.com/k3m0o215z4/RECURSOS_part2_7z_006,https://anonfiles.com/bfnbo31fz0/RECURSOS_part2_7z_008,https://anonfiles.com/fan5o416z0/RECURSOS_part2_7z_007"
78,Cabra Consulting Ltd,"Cabra Enterprises Ltd was founded in 1980 with Cabra Consulting Ltd. as a division of same.  In 2010 Cabra Consulting Ltd was spun up as a stand-alone entity from Cabra Enterprises.
Cabra’s corporate goals have never changed with a commitment to supply quality professional geological services to the petroleum industry.
Cabra has a solid team of geologists with diverse backgrounds and is able to supply services in all aspects of wellsite geology whether they are field, operational or geosteering services.", 15.07.23, 62553,".23,,https://www.cabra.ca/,,Internal documents and regulations,Geological reports,Financial and accounting reporting,Checks,Official letters and correspondence,Client Invoices paid,Corp Tax payments,Bank statements,Expenses,Employee profiles, personal data,Budgets,,https://anonfiles.com/K03bxd2bz6/CABRA_part05_rar,https://anonfiles.com/Oa3ax82ez8/CABRA_part03_rar,https://anonfiles.com/W23fx429z4/CABRA_part04_rar,https://anonfiles.com/g549xd2dz5/CABRA_part02_rar,https://anonfiles.com/mc4dx621z8/CABRA_part01_rar,https://anonfiles.com/K350x22az5/CABRA_part07_rar,https://anonfiles.com/O859x32cz8/CABRA_part06_rar,https://anonfiles.com/Q156x226za/CABRA_part08_rar,https://anonfiles.com/R35bx72ez8/CABRA_part10_rar,https://anonfiles.com/Ud5cxc25z9/CABRA_part09_rar,https://anonfiles.com/X86axc23zd/CABRA_part12_rar,https://anonfiles.com/b170x22bzb/CABRA_part13_rar,https://anonfiles.com/c479xe22z6/CABRA_part11_rar,https://anonfiles.com/857ax12cz3/CABRA_part14_rar,https://anonfiles.com/N57ax025zd/CABRA_part15_rar,https://anonfiles.com/Cc8ax22dza/CABRA_part17_rar,https://anonfiles.com/G184xf23ze/CABRA_part16_rar,https://anonfiles.com/K785xe29zb/CABRA_part18_rar,https://anonfiles.com/S082x028z4/CABRA_part19_rar,https://anonfiles.com/W58bxc21z0/CABRA_part20_rar,https://anonfiles.com/Ub96xd2bz9/CABRA_part22_rar,https://anonfiles.com/X098x526z8/CABRA_part21_rar,https://anonfiles.com/a8A1xd23zb/CABRA_part23_rar,https://anonfiles.com/i6A9x421z2/CABRA_part24_rar,https://anonfiles.com/13Adx828zb/CABRA_part25_rar,https://anonfiles.com/H1Bcx12az9/CABRA_part26_rar,https://anonfiles.com/MaB2xf2czc/CABRA_part28_rar,https://anonfiles.com/X6B5x22eza/CABRA_part27_rar,https://anonfiles.com/e2Cfx02az2/CABRA_part29_rar,https://anonfiles.com/yaCdxa29z3/CABRA_part30_rar,https://anonfiles.com/L2D6xc25z0/CABRA_part31_rar,https://anonfiles.com/U5D7x82bz8/CABRA_part33_rar,https://anonfiles.com/Z6D0x62dz0/CABRA_part32_rar,https://anonfiles.com/cfEcx622z6/CABRA_part34_rar,https://anonfiles.com/vdE0x623ze/CABRA_part35_rar,https://anonfiles.com/Z2Fax227ze/CABRA_part36_rar,https://anonfiles.com/3aG8x12az4/CABRA_part39_rar,https://anonfiles.com/86G9x224z8/CABRA_part37_rar,https://anonfiles.com/DeG1xa23z0/CABRA_part38_rar,https://anonfiles.com/H1G2x22bza/CABRA_part43_rar,https://anonfiles.com/U9Gax325z5/CABRA_part40_rar,https://anonfiles.com/J5H3x920z5/CABRA_part41_rar,https://anonfiles.com/L4H4xa2cza/CABRA_part42_rar"
